ticker,weight,esg,itr,SECTOR,NAME,COUNTRY,mu,weight_opt,risk_contrib
TEF.MC,0.27365900547318,14.087346918620735,1.3,Communication Services,TELEFONICA SA,Spain,-0.8719619457345649,3.1379762223359306e-18,-7.475527565635775e-21
DTEG.DE,1.7095600341912,14.521655174166089,1.3,Communication Services,DEUTSCHE TELEKOM AG-REG,Germany,-0.924699585958933,0.015754103617500823,0.003101844235040632
UMG.AS,0.45629800912596,14.797489680054705,3.0,Communication Services,UNIVERSAL MUSIC GROUP NV,Netherlands,-2.849838596190322,0.006211204459147904,0.0008118065231086633
CLNX.MC,0.24621600492432,16.809448916300003,1.3,Communication Services,CELLNEX TELECOM SA,Spain,-1.9811184191574478,0.014378980831166252,0.002617424523656898
G24G.DE,0.13497900269958,17.369670780200774,1.5,Communication Services,SCOUT24 SE,Germany,-0.15273399850758396,0.014454769536558965,0.0024646624410499572
PUB.PA,0.31562500631249996,18.151601892017887,1.4,Communication Services,PUBLICIS GROUPE,France,-5.305174237263964,0.0,0.0
PRX.AS,1.3240690264813801,14.25748360384,3.6,Consumer Discretionary,PROSUS NV,Netherlands,49.76663593720769,0.015553277636665135,0.0030449825662834124
DAIG.DE,0.65192901303858,14.399499507698518,1.6,Consumer Discretionary,MERCEDES-BENZ GROUP AG,Germany,20.751398484816697,0.0,0.0
ZALG.DE,0.09860100197201999,14.525515329912732,2.6,Consumer Discretionary,ZALANDO SE,Germany,-4.92220169007579,1.0776893026127255e-18,3.54313771982861e-20
ADSG.DE,0.51792301035846,14.617396857483373,1.4,Consumer Discretionary,ADIDAS AG,Germany,-30.272468815151182,0.0,0.0
KER.PA,0.35511000710220003,14.617396857483373,1.6,Consumer Discretionary,KERING,France,39.76689539038636,0.015863902785138186,0.00323968947795794
AMS.MC,0.51338601026772,17.061830582602973,1.5,Consumer Discretionary,AMADEUS IT GROUP SA,Spain,-4.038810975545263,0.015013515396022751,0.0026586597144697822
RNO.PA,0.11293400225868,17.117346257143154,1.6,Consumer Discretionary,RENAULT SA,France,-15.053827769579545,0.015078261810430984,0.0040254228601253545
AC.PA,0.13333600266672,17.493747818342115,5.9,Consumer Discretionary,ACCOR SA,France,8.88225040327158,0.010509075527651438,0.001528497915564577
FDJ.PA,0.05348700106974,17.530602701126117,2.9,Consumer Discretionary,FDJ UNITED,France,-31.406550064524996,0.010141966961879465,0.0014001607517135613
ITX.MC,0.86501401730028,17.783664361437136,1.6,Consumer Discretionary,INDUSTRIA DE DISENO TEXTIL,Spain,18.41119750671751,0.01327823903830921,0.0021690795466657513
MC.PA,2.19750604395012,18.073018068136864,1.8,Consumer Discretionary,LVMH MOET HENNESSY LOUIS VUI,France,7.515405044291282,0.00862189112370015,0.001128137681648689
RMS.PA,1.11376802227536,18.33825105003496,1.7,Consumer Discretionary,HERMES INTERNATIONAL,France,-6.661453799110598,0.0,0.0
MONC.MI,0.19666700393334,18.505056551035235,1.7,Consumer Discretionary,MONCLER SPA,Italy,10.26235543812947,1.002860319203534e-18,8.479569920962458e-20
BN.PA,0.81047201620944,11.047893743905616,2.8,Consumer Staples,DANONE,France,22.1247632853554,0.015374330473103107,0.0030795886492850596
KYG.ID,0.21214300424285998,14.228667041728665,2.0,Consumer Staples,KERRY GROUP PLC-A,Ireland,-13.10156094636968,0.0002175344708093477,2.3093393933083362e-05
RI.PA,0.28463900569278,14.396083317826658,1.9,Consumer Staples,PERNOD RICARD SA,France,-27.13781644772907,0.015476971022111097,0.0031554382066909864
OR.PA,1.4958700299174,14.51259349137728,1.3,Consumer Staples,L OREAL,France,16.13480705091743,0.015751923669343536,0.003358602975500313
